Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group1
ENSMUSG00000078570,ENSMUSG00000078570,ENSMUSG00000078570,ENSMUSG00000087408,ENSMUSG00000030030,ENSMUSG00000030030,ENSMUSG00000030030,ENSMUSG00000027335,ENSMUSG00000000486
ENSMUSG00000043687,ENSMUSG00000043687,ENSMUSG00000030030,ENSMUSG00000026203,ENSMUSG00000020940,ENSMUSG00000020940,ENSMUSG00000035370,ENSMUSG00000028919,ENSMUSG00000019689
ENSMUSG00000030030,ENSMUSG00000030030,ENSMUSG00000078572,ENSMUSG00000008140,ENSMUSG00000089922,ENSMUSG00000087075,ENSMUSG00000027335,ENSMUSG00000024039,ENSMUSG00000078570
ENSMUSG00000020940,ENSMUSG00000020940,ENSMUSG00000058833,ENSMUSG00000034282,ENSMUSG00000087075,ENSMUSG00000035370,ENSMUSG00000040564,ENSMUSG00000087408,ENSMUSG00000043687
ENSMUSG00000078572,ENSMUSG00000078572,ENSMUSG00000036880,ENSMUSG00000021280,ENSMUSG00000034853,ENSMUSG00000027335,ENSMUSG00000022602,ENSMUSG00000022995,ENSMUSG00000030030
ENSMUSG00000031983,ENSMUSG00000071302,ENSMUSG00000032281,ENSMUSG00000043398,ENSMUSG00000035370,ENSMUSG00000040564,ENSMUSG00000028919,ENSMUSG00000034282,ENSMUSG00000020940
ENSMUSG00000071302,ENSMUSG00000058833,ENSMUSG00000076435,ENSMUSG00000030600,ENSMUSG00000027335,ENSMUSG00000022602,ENSMUSG00000007097,ENSMUSG00000021280,ENSMUSG00000063838
ENSMUSG00000058833,ENSMUSG00000087075,ENSMUSG00000035370,ENSMUSG00000070639,ENSMUSG00000040564,ENSMUSG00000028919,ENSMUSG00000002602,ENSMUSG00000089704,ENSMUSG00000044916
ENSMUSG00000087075,ENSMUSG00000003346,ENSMUSG00000051149,ENSMUSG00000022577,ENSMUSG00000022602,ENSMUSG00000007097,ENSMUSG00000004892,ENSMUSG00000055694,ENSMUSG00000078572
ENSMUSG00000003346,ENSMUSG00000036880,ENSMUSG00000029455,ENSMUSG00000036155,ENSMUSG00000028919,ENSMUSG00000002602,ENSMUSG00000000202,ENSMUSG00000092356,ENSMUSG00000074217
ENSMUSG00000007950,ENSMUSG00000032281,ENSMUSG00000017390,ENSMUSG00000043811,ENSMUSG00000007097,ENSMUSG00000004892,ENSMUSG00000045532,ENSMUSG00000043398,ENSMUSG00000031983
ENSMUSG00000036880,ENSMUSG00000076435,ENSMUSG00000002985,ENSMUSG00000056222,ENSMUSG00000002602,ENSMUSG00000000202,ENSMUSG00000040794,ENSMUSG00000034786,ENSMUSG00000071302
ENSMUSG00000029545,ENSMUSG00000035370,ENSMUSG00000038539,ENSMUSG00000023990,ENSMUSG00000004892,ENSMUSG00000045532,ENSMUSG00000028558,ENSMUSG00000061436,ENSMUSG00000096001
ENSMUSG00000032281,ENSMUSG00000051149,ENSMUSG00000002602,ENSMUSG00000024736,ENSMUSG00000000202,ENSMUSG00000040794,ENSMUSG00000025150,ENSMUSG00000030600,ENSMUSG00000058833
ENSMUSG00000076435,ENSMUSG00000007833,ENSMUSG00000004892,ENSMUSG00000021256,ENSMUSG00000045532,ENSMUSG00000028558,ENSMUSG00000024039,ENSMUSG00000022577,ENSMUSG00000089922
ENSMUSG00000035370,ENSMUSG00000029455,ENSMUSG00000047721,,ENSMUSG00000040794,ENSMUSG00000025150,ENSMUSG00000031292,ENSMUSG00000064370,ENSMUSG00000071540
ENSMUSG00000051149,ENSMUSG00000017390,ENSMUSG00000000202,,ENSMUSG00000053395,ENSMUSG00000024039,ENSMUSG00000087408,ENSMUSG00000064345,ENSMUSG00000087075
ENSMUSG00000007833,ENSMUSG00000002985,ENSMUSG00000036887,,ENSMUSG00000028558,ENSMUSG00000030798,ENSMUSG00000063765,ENSMUSG00000064363,ENSMUSG00000003346
ENSMUSG00000030088,ENSMUSG00000038704,ENSMUSG00000036905,,ENSMUSG00000025150,ENSMUSG00000031292,ENSMUSG00000022037,ENSMUSG00000064367,ENSMUSG00000007950
ENSMUSG00000029455,ENSMUSG00000038539,ENSMUSG00000040794,,ENSMUSG00000024039,ENSMUSG00000087408,ENSMUSG00000028444,ENSMUSG00000064368,ENSMUSG00000018381
ENSMUSG00000017390,ENSMUSG00000037727,ENSMUSG00000079592,,ENSMUSG00000030798,ENSMUSG00000063765,ENSMUSG00000017778,ENSMUSG00000033763,ENSMUSG00000036880
ENSMUSG00000020135,ENSMUSG00000002602,ENSMUSG00000031292,,ENSMUSG00000041598,ENSMUSG00000022037,ENSMUSG00000036596,ENSMUSG00000026932,ENSMUSG00000029545
ENSMUSG00000002985,ENSMUSG00000004892,ENSMUSG00000087408,,ENSMUSG00000024856,ENSMUSG00000028444,ENSMUSG00000027230,ENSMUSG00000024347,ENSMUSG00000034853
ENSMUSG00000038704,ENSMUSG00000060376,ENSMUSG00000063765,,ENSMUSG00000031292,ENSMUSG00000017778,ENSMUSG00000003345,ENSMUSG00000043811,ENSMUSG00000032281
ENSMUSG00000029348,ENSMUSG00000040867,ENSMUSG00000049422,,ENSMUSG00000087408,ENSMUSG00000036596,ENSMUSG00000038642,ENSMUSG00000056222,ENSMUSG00000076435
ENSMUSG00000038539,ENSMUSG00000040466,ENSMUSG00000044006,,ENSMUSG00000063765,ENSMUSG00000027230,ENSMUSG00000024292,ENSMUSG00000024736,ENSMUSG00000035370
ENSMUSG00000037727,ENSMUSG00000047721,ENSMUSG00000022037,,ENSMUSG00000032997,ENSMUSG00000003345,ENSMUSG00000039450,ENSMUSG00000022615,ENSMUSG00000051149
ENSMUSG00000002602,ENSMUSG00000000202,ENSMUSG00000028444,,ENSMUSG00000022219,ENSMUSG00000038642,ENSMUSG00000063897,,ENSMUSG00000027335
ENSMUSG00000097871,ENSMUSG00000036887,ENSMUSG00000031818,,ENSMUSG00000022037,ENSMUSG00000024292,ENSMUSG00000029307,,ENSMUSG00000031980
ENSMUSG00000004892,ENSMUSG00000036905,ENSMUSG00000036596,,ENSMUSG00000028444,ENSMUSG00000039450,ENSMUSG00000022995,,ENSMUSG00000024847
ENSMUSG00000060376,ENSMUSG00000040794,ENSMUSG00000003345,,ENSMUSG00000017778,ENSMUSG00000063897,ENSMUSG00000015085,,ENSMUSG00000007833
ENSMUSG00000040867,ENSMUSG00000079592,ENSMUSG00000039450,,ENSMUSG00000036596,ENSMUSG00000029307,ENSMUSG00000004610,,ENSMUSG00000030088
ENSMUSG00000040466,ENSMUSG00000069806,ENSMUSG00000026203,,ENSMUSG00000027230,ENSMUSG00000042737,ENSMUSG00000034282,,ENSMUSG00000029455
ENSMUSG00000047721,ENSMUSG00000095098,ENSMUSG00000024132,,ENSMUSG00000003345,ENSMUSG00000053268,ENSMUSG00000021280,,ENSMUSG00000017390
ENSMUSG00000000202,ENSMUSG00000031292,ENSMUSG00000008140,,ENSMUSG00000038642,ENSMUSG00000022995,ENSMUSG00000052397,,ENSMUSG00000060063
ENSMUSG00000036887,ENSMUSG00000068101,ENSMUSG00000033726,,ENSMUSG00000024292,ENSMUSG00000015085,ENSMUSG00000096753,,ENSMUSG00000021278
