Group2,Group2_1,Group2_2,Group2_3,Group2_4,Group2_5,Group2_6
ENSMUSG00000078570,ENSMUSG00000063765,ENSMUSG00000050708,ENSMUSG00000020377,ENSMUSG00000028917,ENSMUSG00000037071,ENSMUSG00000030579
ENSMUSG00000043687,ENSMUSG00000049422,ENSMUSG00000036570,ENSMUSG00000022577,ENSMUSG00000050721,ENSMUSG00000031610,ENSMUSG00000090137
ENSMUSG00000030030,ENSMUSG00000032997,ENSMUSG00000049551,ENSMUSG00000035342,ENSMUSG00000024854,ENSMUSG00000020877,ENSMUSG00000025171
ENSMUSG00000020940,ENSMUSG00000044006,ENSMUSG00000021453,ENSMUSG00000036278,ENSMUSG00000008496,ENSMUSG00000029596,ENSMUSG00000071655
ENSMUSG00000078572,ENSMUSG00000001270,ENSMUSG00000020766,ENSMUSG00000019261,ENSMUSG00000056854,ENSMUSG00000048163,ENSMUSG00000033685
ENSMUSG00000031983,ENSMUSG00000022037,ENSMUSG00000044576,ENSMUSG00000040390,ENSMUSG00000056612,ENSMUSG00000018822,ENSMUSG00000090145
ENSMUSG00000071302,ENSMUSG00000028444,ENSMUSG00000020932,ENSMUSG00000035478,ENSMUSG00000034595,ENSMUSG00000033720,ENSMUSG00000090175
ENSMUSG00000058833,ENSMUSG00000021773,ENSMUSG00000024827,ENSMUSG00000027239,ENSMUSG00000029725,ENSMUSG00000022436,ENSMUSG00000020163
ENSMUSG00000087075,ENSMUSG00000031818,ENSMUSG00000032562,ENSMUSG00000002968,ENSMUSG00000039621,ENSMUSG00000039154,ENSMUSG00000021256
ENSMUSG00000003346,ENSMUSG00000041697,ENSMUSG00000038811,ENSMUSG00000002274,ENSMUSG00000003526,ENSMUSG00000017765,ENSMUSG00000024962
ENSMUSG00000007950,ENSMUSG00000074218,ENSMUSG00000043398,ENSMUSG00000030605,ENSMUSG00000036106,ENSMUSG00000004902,ENSMUSG00000037843
ENSMUSG00000036880,ENSMUSG00000035885,ENSMUSG00000035745,ENSMUSG00000036155,ENSMUSG00000034686,ENSMUSG00000040740,ENSMUSG00000048967
ENSMUSG00000029545,ENSMUSG00000036596,ENSMUSG00000058135,ENSMUSG00000008035,ENSMUSG00000048752,ENSMUSG00000048856,ENSMUSG00000028042
ENSMUSG00000032281,ENSMUSG00000033467,ENSMUSG00000033434,ENSMUSG00000035805,ENSMUSG00000037126,ENSMUSG00000030307,ENSMUSG00000049295
ENSMUSG00000076435,ENSMUSG00000029352,ENSMUSG00000044927,ENSMUSG00000071711,ENSMUSG00000026126,ENSMUSG00000020733,ENSMUSG00000064264
ENSMUSG00000035370,ENSMUSG00000003345,ENSMUSG00000024334,ENSMUSG00000035559,ENSMUSG00000003380,ENSMUSG00000078350,ENSMUSG00000013419
ENSMUSG00000051149,ENSMUSG00000027447,ENSMUSG00000048001,ENSMUSG00000031765,ENSMUSG00000034353,ENSMUSG00000027333,ENSMUSG00000054716
ENSMUSG00000007833,ENSMUSG00000018042,ENSMUSG00000051627,ENSMUSG00000031762,ENSMUSG00000001240,ENSMUSG00000027488,ENSMUSG00000049577
ENSMUSG00000030088,ENSMUSG00000052974,ENSMUSG00000060639,ENSMUSG00000031760,ENSMUSG00000027510,ENSMUSG00000072941,ENSMUSG00000075227
ENSMUSG00000029455,ENSMUSG00000037813,ENSMUSG00000093769,ENSMUSG00000038065,ENSMUSG00000025350,ENSMUSG00000045179,
ENSMUSG00000017390,ENSMUSG00000039450,ENSMUSG00000089762,ENSMUSG00000041939,ENSMUSG00000025735,ENSMUSG00000002111,
ENSMUSG00000020135,ENSMUSG00000007039,ENSMUSG00000040972,ENSMUSG00000030681,ENSMUSG00000045232,ENSMUSG00000056222,
ENSMUSG00000002985,ENSMUSG00000042388,ENSMUSG00000024210,ENSMUSG00000030739,ENSMUSG00000071648,ENSMUSG00000020538,
ENSMUSG00000038704,ENSMUSG00000026203,ENSMUSG00000060969,ENSMUSG00000092009,ENSMUSG00000037805,ENSMUSG00000070003,
ENSMUSG00000029348,ENSMUSG00000078440,ENSMUSG00000086784,ENSMUSG00000037139,ENSMUSG00000059291,ENSMUSG00000004366,
ENSMUSG00000038539,ENSMUSG00000042737,ENSMUSG00000020758,ENSMUSG00000079334,ENSMUSG00000038900,ENSMUSG00000020961,
ENSMUSG00000037727,ENSMUSG00000039063,ENSMUSG00000022817,ENSMUSG00000036199,ENSMUSG00000074129,ENSMUSG00000053205,
ENSMUSG00000002602,ENSMUSG00000024132,ENSMUSG00000052837,ENSMUSG00000033938,ENSMUSG00000059070,ENSMUSG00000021384,
ENSMUSG00000097871,ENSMUSG00000058709,ENSMUSG00000071076,ENSMUSG00000020153,ENSMUSG00000045128,ENSMUSG00000016200,
ENSMUSG00000004892,ENSMUSG00000090264,ENSMUSG00000037579,ENSMUSG00000042419,ENSMUSG00000063316,ENSMUSG00000036644,
ENSMUSG00000060376,ENSMUSG00000008140,ENSMUSG00000050138,ENSMUSG00000041309,ENSMUSG00000030432,ENSMUSG00000055799,
ENSMUSG00000040867,ENSMUSG00000033726,ENSMUSG00000034311,ENSMUSG00000039263,ENSMUSG00000057863,ENSMUSG00000024175,
ENSMUSG00000040466,ENSMUSG00000028445,ENSMUSG00000074657,ENSMUSG00000054958,ENSMUSG00000041841,ENSMUSG00000023990,
ENSMUSG00000047721,ENSMUSG00000015085,ENSMUSG00000031788,ENSMUSG00000020591,ENSMUSG00000003970,ENSMUSG00000020219,
ENSMUSG00000000202,ENSMUSG00000004610,ENSMUSG00000036915,ENSMUSG00000046160,ENSMUSG00000007892,ENSMUSG00000041143,
