Group4,Group4_1,Group4_2
ENSMUSG00000078570,ENSMUSG00000093769,ENSMUSG00000039001
ENSMUSG00000030030,ENSMUSG00000040972,ENSMUSG00000090733
ENSMUSG00000078572,ENSMUSG00000086784,ENSMUSG00000061477
ENSMUSG00000058833,ENSMUSG00000022817,ENSMUSG00000006333
ENSMUSG00000036880,ENSMUSG00000050138,ENSMUSG00000032518
ENSMUSG00000032281,ENSMUSG00000074657,ENSMUSG00000043811
ENSMUSG00000076435,ENSMUSG00000030124,ENSMUSG00000031610
ENSMUSG00000035370,ENSMUSG00000039252,ENSMUSG00000017765
ENSMUSG00000051149,ENSMUSG00000036111,ENSMUSG00000004902
ENSMUSG00000029455,ENSMUSG00000030600,ENSMUSG00000040740
ENSMUSG00000017390,ENSMUSG00000033707,ENSMUSG00000020733
ENSMUSG00000002985,ENSMUSG00000070639,ENSMUSG00000056222
ENSMUSG00000038539,ENSMUSG00000030339,ENSMUSG00000004366
ENSMUSG00000002602,ENSMUSG00000022577,ENSMUSG00000016200
ENSMUSG00000004892,ENSMUSG00000035478,ENSMUSG00000055799
ENSMUSG00000047721,ENSMUSG00000027239,ENSMUSG00000023990
ENSMUSG00000000202,ENSMUSG00000002274,ENSMUSG00000024736
ENSMUSG00000036887,ENSMUSG00000036155,ENSMUSG00000013707
ENSMUSG00000036905,ENSMUSG00000008035,ENSMUSG00000033088
ENSMUSG00000040794,ENSMUSG00000035805,ENSMUSG00000044986
ENSMUSG00000079592,ENSMUSG00000031760,ENSMUSG00000045136
ENSMUSG00000031292,ENSMUSG00000038065,ENSMUSG00000030579
ENSMUSG00000087408,ENSMUSG00000030739,ENSMUSG00000090137
ENSMUSG00000063765,ENSMUSG00000092009,ENSMUSG00000071655
ENSMUSG00000049422,ENSMUSG00000037139,ENSMUSG00000020163
ENSMUSG00000044006,ENSMUSG00000036199,ENSMUSG00000021256
ENSMUSG00000022037,ENSMUSG00000033938,ENSMUSG00000028042
ENSMUSG00000028444,ENSMUSG00000041309,
ENSMUSG00000031818,ENSMUSG00000054958,
ENSMUSG00000036596,ENSMUSG00000020591,
ENSMUSG00000003345,ENSMUSG00000046160,
ENSMUSG00000039450,ENSMUSG00000027257,
ENSMUSG00000026203,ENSMUSG00000035863,
ENSMUSG00000024132,ENSMUSG00000042613,
ENSMUSG00000008140,ENSMUSG00000020388,
ENSMUSG00000033726,ENSMUSG00000056612,
ENSMUSG00000028445,ENSMUSG00000039621,
ENSMUSG00000015085,ENSMUSG00000034686,
ENSMUSG00000004610,ENSMUSG00000025350,
ENSMUSG00000034282,ENSMUSG00000071648,
ENSMUSG00000021280,ENSMUSG00000059291,
ENSMUSG00000041556,ENSMUSG00000038900,
ENSMUSG00000024965,ENSMUSG00000074129,
ENSMUSG00000050708,ENSMUSG00000059070,
ENSMUSG00000049551,ENSMUSG00000057863,
ENSMUSG00000020932,ENSMUSG00000041841,
ENSMUSG00000024827,ENSMUSG00000003970,
ENSMUSG00000038811,ENSMUSG00000007892,
ENSMUSG00000043398,ENSMUSG00000025508,
ENSMUSG00000058135,ENSMUSG00000063457,
